date,hour,match,home_team,away_team,home_goals_bol,away_goals_bol,home_goals_real,away_goals_real,resultado_bol_placar,resultado_bol_time,resultado_real_placar,resultado_real_time,who,pontos,criterio,valido,1-Placar exato,2-Vencedor + gols de um time,3-Vencedor correto,4-Gols de um time,5-Nenhum acerto
2025-06-14,21h,al_ahly-vs-inter_miami,Al Ahly,Inter Miami,0.0,1.0,0,0,0 x 1,Inter Miami,0 x 0,empate,Guilherme,1,4-Gols de um time,1,False,False,False,True,False
2025-06-15,13h,bayern_de_munique-vs-auckland_city,Bayern de Munique,Auckland City,3.0,0.0,10,0,3 x 0,Bayern de Munique,10 x 0,Bayern de Munique,Guilherme,7,2-Vencedor + gols de um time,1,False,True,False,False,False
2025-06-15,16h,paris_saint_germain-vs-atlético_de_madrid,Paris Saint-Germain,Atlético de Madrid,2.0,1.0,4,0,2 x 1,Paris Saint-Germain,4 x 0,Paris Saint-Germain,Guilherme,5,3-Vencedor correto,1,False,False,True,False,False
2025-06-15,19h,palmeiras-vs-porto,Palmeiras,Porto ,2.0,2.0,0,0,2 x 2,empate,0 x 0,empate,Guilherme,5,3-Vencedor correto,1,False,False,True,False,False
2025-06-15,23h,botafogo-vs-seattle_sounders,Botafogo,Seattle Sounders,1.0,0.0,2,1,1 x 0,Botafogo,2 x 1,Botafogo,Guilherme,5,3-Vencedor correto,1,False,False,True,False,False
2025-06-16,16h,chelsea-vs-los_angeles_fc,Chelsea,Los Angeles FC,2.0,0.0,2,0,2 x 0,Chelsea,2 x 0,Chelsea,Guilherme,12,1-Placar exato,1,True,False,False,False,False
2025-06-16,19h,boca_juniors-vs-benfica,Boca Juniors,Benfica,2.0,1.0,2,2,2 x 1,Boca Juniors,2 x 2,empate,Guilherme,1,4-Gols de um time,1,False,False,False,True,False
2025-06-16,22h,flamengo-vs-espérance,Flamengo,Espérance,2.0,0.0,2,0,2 x 0,Flamengo,2 x 0,Flamengo,Guilherme,12,1-Placar exato,1,True,False,False,False,False
2025-06-17,13h,fluminense-vs-borussia_dortmund,Fluminense,Borussia Dortmund,0.0,2.0,0,0,0 x 2,Borussia Dortmund,0 x 0,empate,Guilherme,1,4-Gols de um time,1,False,False,False,True,False
2025-06-17,16h,river_plate-vs-urawa_reds,River Plate,Urawa Reds,2.0,0.0,3,1,2 x 0,River Plate,3 x 1,River Plate,Guilherme,5,3-Vencedor correto,1,False,False,True,False,False
2025-06-17,19h,ulsan_hd-vs-mamelodi_sundowns,Ulsan HD,Mamelodi Sundowns,1.0,1.0,0,1,1 x 1,empate,0 x 1,Mamelodi Sundowns,Guilherme,1,4-Gols de um time,1,False,False,False,True,False
2025-06-17,22h,monterrey-vs-internazionale,Monterrey,Internazionale,1.0,2.0,1,1,1 x 2,Internazionale,1 x 1,empate,Guilherme,1,4-Gols de um time,1,False,False,False,True,False
2025-06-18,13h,manchester_city-vs-wydad_casablanca,Manchester City,Wydad Casablanca,2.0,0.0,2,0,2 x 0,Manchester City,2 x 0,Manchester City,Guilherme,12,1-Placar exato,1,True,False,False,False,False
2025-06-18,16h,real_madrid-vs-al_hilal,Real Madrid,Al-Hilal,3.0,1.0,1,1,3 x 1,Real Madrid,1 x 1,empate,Guilherme,1,4-Gols de um time,1,False,False,False,True,False
2025-06-18,19h,pachuca-vs-rb_salzburg,Pachuca,RB Salzburg,1.0,2.0,1,2,1 x 2,RB Salzburg,1 x 2,RB Salzburg,Guilherme,12,1-Placar exato,1,True,False,False,False,False
2025-06-18,22h,al_ain-vs-juventus,Al-Ain,Juventus,0.0,2.0,0,5,0 x 2,Juventus,0 x 5,Juventus,Guilherme,7,2-Vencedor + gols de um time,1,False,True,False,False,False
2025-06-19,13h,palmeiras-vs-al_ahly,Palmeiras,Al Ahly,2.0,0.0,2,0,2 x 0,Palmeiras,2 x 0,Palmeiras,Guilherme,12,1-Placar exato,1,True,False,False,False,False
2025-06-19,16h,inter_miami-vs-porto,Inter Miami,Porto ,0.0,1.0,2,1,0 x 1,Porto ,2 x 1,Inter Miami,Guilherme,1,4-Gols de um time,1,False,False,False,True,False
2025-06-19,19h,seattle_sounders-vs-atlético_de_madrid,Seattle Sounders,Atlético de Madrid,0.0,3.0,1,3,0 x 3,Atlético de Madrid,1 x 3,Atlético de Madrid,Guilherme,7,2-Vencedor + gols de um time,1,False,True,False,False,False
2025-06-19,22h,paris_saint_germain-vs-botafogo,Paris Saint-Germain,Botafogo,3.0,0.0,0,1,3 x 0,Paris Saint-Germain,0 x 1,Botafogo,Guilherme,0,5-Nenhum acerto,1,False,False,False,False,True
2025-06-20,13h,benfica-vs-auckland_city,Benfica,Auckland City,2.0,0.0,6,0,2 x 0,Benfica,6 x 0,Benfica,Guilherme,7,2-Vencedor + gols de um time,1,False,True,False,False,False
2025-06-20,15h,flamengo-vs-chelsea,Flamengo,Chelsea,1.0,2.0,3,1,1 x 2,Chelsea,3 x 1,Flamengo,Guilherme,0,5-Nenhum acerto,1,False,False,False,False,True
2025-06-20,19h,los_angeles_fc-vs-espérance,Los Angeles FC,Espérance,1.0,0.0,0,1,1 x 0,Los Angeles FC,0 x 1,Espérance,Guilherme,0,5-Nenhum acerto,1,False,False,False,False,True
2025-06-20,22h,bayern_de_munique-vs-boca_juniors,Bayern de Munique,Boca Juniors,2.0,0.0,2,1,2 x 0,Bayern de Munique,2 x 1,Bayern de Munique,Guilherme,7,2-Vencedor + gols de um time,1,False,True,False,False,False
2025-06-21,13h,mamelodi_sundowns-vs-borussia_dortmund,Mamelodi Sundowns,Borussia Dortmund,0.0,3.0,3,4,0 x 3,Borussia Dortmund,3 x 4,Borussia Dortmund,Guilherme,5,3-Vencedor correto,1,False,False,True,False,False
2025-06-21,16h,internazionale-vs-urawa_reds,Internazionale,Urawa Reds,2.0,0.0,2,1,2 x 0,Internazionale,2 x 1,Internazionale,Guilherme,7,2-Vencedor + gols de um time,1,False,True,False,False,False
2025-06-21,19h,fluminense-vs-ulsan_hd,Fluminense,Ulsan HD,2.0,0.0,4,2,2 x 0,Fluminense,4 x 2,Fluminense,Guilherme,5,3-Vencedor correto,1,False,False,True,False,False
2025-06-21,22h,river_plate-vs-monterrey,River Plate,Monterrey,2.0,1.0,0,0,2 x 1,River Plate,0 x 0,empate,Guilherme,0,5-Nenhum acerto,1,False,False,False,False,True
2025-06-22,13h,juventus-vs-wydad_casablanca,Juventus,Wydad Casablanca,3.0,1.0,4,1,3 x 1,Juventus,4 x 1,Juventus,Guilherme,7,2-Vencedor + gols de um time,1,False,True,False,False,False
2025-06-22,16h,real_madrid-vs-pachuca,Real Madrid,Pachuca,2.0,0.0,3,1,2 x 0,Real Madrid,3 x 1,Real Madrid,Guilherme,5,3-Vencedor correto,1,False,False,True,False,False
2025-06-22,19h,rb_salzburg-vs-al_hilal,RB Salzburg,Al-Hilal,1.0,0.0,0,0,1 x 0,RB Salzburg,0 x 0,empate,Guilherme,1,4-Gols de um time,1,False,False,False,True,False
2025-06-22,22h,manchester_city-vs-al_ain,Manchester City,Al-Ain,2.0,0.0,6,0,2 x 0,Manchester City,6 x 0,Manchester City,Guilherme,7,2-Vencedor + gols de um time,1,False,True,False,False,False
2025-06-23,16h,seattle_sounders-vs-paris_saint_germain,Seattle Sounders,Paris Saint-Germain,0.0,2.0,0,2,0 x 2,Paris Saint-Germain,0 x 2,Paris Saint-Germain,Guilherme,12,1-Placar exato,1,True,False,False,False,False
2025-06-23,16h,atlético_de_madrid-vs-botafogo,Atlético de Madrid,Botafogo,3.0,1.0,1,0,3 x 1,Atlético de Madrid,1 x 0,Atlético de Madrid,Guilherme,5,3-Vencedor correto,1,False,False,True,False,False
2025-06-23,22h,inter_miami-vs-palmeiras,Inter Miami,Palmeiras,0.0,1.0,2,2,0 x 1,Palmeiras,2 x 2,empate,Guilherme,0,5-Nenhum acerto,1,False,False,False,False,True
